MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
4196.380196923963,reg:squarederror,5,0.74,1.0,130,4000
4287.645400782729,reg:squarederror,5,0.74,1.0,100,3090
4338.286588674741,reg:squarederror,4,0.74,1.0,130,1949
4388.08104525943,reg:squarederror,5,0.74,1.0,85,2625
4407.5426157231495,reg:squarederror,5,0.74,1.0,80,2472
4428.87755818208,reg:squarederror,5,0.74,1.0,75,2318
4465.516348606335,reg:squarederror,5,0.74,1.0,70,2163
4485.117506021326,reg:squarederror,4,0.74,1.0,100,1500
4498.886400307412,reg:squarederror,5,0.74,1.0,65,2011
4546.477659085966,reg:squarederror,5,0.74,1.0,60,1857
4624.317121715827,reg:squarederror,4,0.74,1.0,85,1275
4648.743188156498,reg:squarederror,4,0.74,1.0,80,1200
4679.562724904651,reg:squarederror,4,0.74,1.0,75,1125
4709.915055953709,reg:squarederror,4,0.74,1.0,70,1050
4777.8693737385365,reg:squarederror,4,0.74,1.0,65,975
4836.675331057858,reg:squarederror,4,0.74,1.0,60,900
