psb,emb1,emb2,emb3,hab1,Mean Squared Error
0,0,0,0,0,3640.2703203573874
20,20,20,20,20,3646.260860731691
40,40,40,40,40,3696.036006763415
60,60,60,60,60,3714.6482954978474
80,80,80,80,80,3714.5872337896135
100,100,100,100,100,3744.618811289878
120,120,120,120,120,3788.693036106011
140,140,140,140,140,3829.029310177168
160,160,160,160,160,3847.734493575052
100,50,100,50,100,3742.001768528324
50,50,50,50,100,3713.885751239036
80,50,80,50,100,3716.322014148381
70,50,70,70,100,3714.1205303163015
46,10,30,21,17,3649.1019274940604
-10,-10,-10,-10,-10,3650.568442757582
-20,-20,-20,-20,-20,3671.467991689429
