model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-57.87115462716966,-58.133866423324626,root_mean_squared_error,138.78562355041504,5.13722038269043,2260.220622777939,0.02765798568725586,0.0,0.36086201667785645,2,True,12
LightGBMLarge,-58.73040413301622,-59.07284117279237,root_mean_squared_error,50.21498417854309,1.790067195892334,246.35029077529907,50.21498417854309,1.790067195892334,246.35029077529907,1,True,11
CatBoost,-58.932563765203106,-59.325503981618056,root_mean_squared_error,0.6398434638977051,0.01910114288330078,1164.4592471122742,0.6398434638977051,0.01910114288330078,1164.4592471122742,1,True,6
LightGBM,-59.09049002467434,-59.39821193057691,root_mean_squared_error,34.39455485343933,1.2852506637573242,209.84701085090637,34.39455485343933,1.2852506637573242,209.84701085090637,1,True,4
LightGBMXT,-59.17421052098513,-59.38917824670682,root_mean_squared_error,38.79130792617798,1.4427382946014404,224.71521830558777,38.79130792617798,1.4427382946014404,224.71521830558777,1,True,3
XGBoost,-59.20839316516112,-59.247754859463306,root_mean_squared_error,11.426802635192871,0.4759969711303711,216.69171476364136,11.426802635192871,0.4759969711303711,216.69171476364136,1,True,9
NeuralNetTorch,-59.90386252723394,-60.39963215679404,root_mean_squared_error,1.4731049537658691,0.0639805793762207,715.7092106342316,1.4731049537658691,0.0639805793762207,715.7092106342316,1,True,10
NeuralNetFastAI,-60.08229947643231,-60.3971747743539,root_mean_squared_error,2.4572110176086426,0.07918667793273926,646.5463154315948,2.4572110176086426,0.07918667793273926,646.5463154315948,1,True,8
RandomForestMSE,-64.24051287355692,-64.47660264455648,root_mean_squared_error,3.9606199264526367,0.15256667137145996,1426.4418303966522,3.9606199264526367,0.15256667137145996,1426.4418303966522,1,True,5
ExtraTreesMSE,-68.02069023930623,-68.29705887671808,root_mean_squared_error,3.930280923843384,0.15431427955627441,309.5930230617523,3.930280923843384,0.15431427955627441,309.5930230617523,1,True,7
KNeighborsDist,-109.73452228825265,-109.71024625469603,root_mean_squared_error,437.0902404785156,16.978582620620728,1.3316023349761963,437.0902404785156,16.978582620620728,1.3316023349761963,1,True,2
KNeighborsUnif,-110.76253912283613,-110.8785694041928,root_mean_squared_error,442.9412260055542,15.12250018119812,5.368659257888794,442.9412260055542,15.12250018119812,5.368659257888794,1,True,1
